,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
53,8693,Salmonella,2011-09-24,2011-09-27,5,ID,Idaho,Nez Perce,,,,,,,,,,,,,,,,,,,64.67,1011.9325,6.055,0.025,38.84567237,98.51,7.715,40.75388371954608,2953.7261803727024,44380.89589572559,6.576871295012717,0.8938187411900494,46.04520896973926
54,8721,Salmonella,2011-08-24,2011-09-01,6,MI,Michigan,Wayne,,,,,,,,,,,,,,,,,,,71.9,1013.7,5.655555556,0.04212963,64.68674909,23.1861111,6.436111114,36.795650248733324,53762.59947955855,42001.14008824777,6.590531855512301,0.25715077814245824,3026.727043507621
55,8762,Salmonella,2011-10-16,2011-10-16,7,IA,Iowa,Marshall,,,,,,,,,,,,,,,,,,,51.0,1011.9,8.9,0.01,57.88837408,,10.1,39.26387688807774,2120.8236575221877,47350.92733381118,4.748767477825661,1.1551310783037747,70.49673016748862
56,8841,Salmonella,2011-09-17,2011-09-18,35,MI,Michigan,Hillsdale,,,,,,,,,,,,,,,,,,,56.2,,5.8,0.0,70.94036434,,7.2,40.13495443331972,2484.6440986228395,43130.368063045156,4.506486839356715,1.6114598465220216,78.40584149348363
57,8945,Salmonella,2011-09-23,2011-10-10,32,FL,Florida,Lee,,,,,,,,,,,,,,,,,,,78.56064815,1013.827778,5.926388889,0.205925926,72.16466529,0.858334,5.994907411,44.88917416186076,43144.5133194701,49617.565732051255,7.212375083655181,0.6293610488354493,782.4072606253967
58,8946,Salmonella,2011-10-15,2011-10-28,39,GA,Georgia,Coffee,,,,,,,,,,,,,,,,,,,64.22142857,,2.014285714,0.0,68.18595225,,6.357142857,34.790277925149674,2209.2743363952277,34208.762167472945,5.540011320070625,2.4903980065254117,73.11886154906797
59,9010,Salmonella,2011-09-20,2011-09-20,6,CA,California,Los Angeles,,,,,,,,,,,,,,,,,,,69.64375,1013.15,4.375,0.0,54.81690398,38.3416667,5.7875,34.54115712216581,282948.10067031084,56145.29440862844,5.209869515031836,0.32840272715782576,2409.035784668535
60,9028,Salmonella,2011-05-20,2011-06-03,22,CA,California,Contra Costa,,,,,,,,,,,,,,,,,,,56.70888889,1016.284444,8.311111111,0.007555556,63.94934538,1.797777,6.128888889,38.169930689472075,54764.05920544513,79162.7314317592,4.623325585705898,0.19002622344390804,1438.2798952494593
61,9058,Salmonella,2011-11-25,2011-12-05,165,MS,Mississippi,Alcorn,,,,,,,,,,,,,,,,,,,45.15454545,,5.809090909,0.0,72.54084448,,6.818181821,39.11365708703249,2210.470764361913,32198.569424545673,4.8029121272998445,0.7877868280927892,92.15955340826716
62,9070,Salmonella,2011-07-20,2011-08-10,43,IN,Indiana,Lake,,,,,,,,,,,,,,,,,,,79.88181818,,6.395454545,0.0,69.42100901,,6.150000005,37.028986568122605,23226.688992706375,49269.185749767305,5.786670741072732,0.17985534105771006,992.0666772237956
63,9166,Salmonella,2011-07-15,2011-08-08,18,CA,California,Los Angeles,,,,,,,,,,,,,,,,,,,71.23575238,1012.25841,6.044575824,0.00232,52.54428787,36.3127946,6.147324546,34.50346381498633,282855.1883000997,56050.39835626339,5.196394235701473,0.3264291089946579,2407.673999677298
64,9296,Salmonella,2011-07-03,2011-07-03,9,MD,Maryland,Prince George's,,,,,,,,,,,,,,,,,,,81.05,1013.6,4.1,0.16,59.42364964,10.1,20.9,34.71446176536369,55115.21033257961,72771.45638938875,3.8711581098398726,0.11417678863997342,1773.466272636681
65,9716,Salmonella,2011-05-28,2011-05-28,11,OH,Ohio,Miami,,,,,,,,,,,,,,,,,,,63.07,1012.93,5.57,0.03,80.73410712,33.62,6.71,40.16515549832358,4732.243157132575,51172.8826303263,4.946504631264845,0.3494736197372939,251.82777051696505
66,9868,Salmonella,2011-08-20,2011-08-20,5,CA,California,Orange,,,,,,,,,,,,,,,,,,,68.66666667,1012.2,5.033333333,0.0,71.31588351,2.233333,3.9,35.90772478629774,136324.2843591498,75526.32763001493,4.975441720508018,0.34515267505880654,3768.719597635419
67,9535,Salmonella,2011-11-23,2011-12-16,54,GA,Georgia,Lee,,,,,,,,,,,,,,,,,,,54.36291667,1023.416667,4.61625,0.014166667,67.45021925,8.097917,5.86625,35.79268107205143,2486.702810736239,58318.51947004182,2.118958143777544,0.7810417742038634,79.36085093753815
