,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
225,649,21659,Norovirus,2015-01-18,2015-01-18,77,SC,South Carolina,Greenville,,,,,,,,,,,46.15,1017.1,5.9,0.0,51.34386715,36.25,10.65,37.6025034372061,28948.90731060232,50003.6625227341,6.433474639891184,0.2060906636497722,595.4081116371412
226,650,21678,Norovirus,2015-01-25,2015-01-25,28,OH,Ohio,Summit,,,,,,,,,,,32.15,1007.6,8.0,0.02,84.27478568,42.55,5.0,40.609441670630304,21512.19323196677,50121.26746075314,6.360967386973196,0.1326635833842633,1311.8945413013548
227,651,40827,Norovirus,2015-01-31,2015-01-31,31,MN,Minnesota,Scott,,,,,,,,,,,25.53,1022.7,5.91,0.0,79.16741572,35.93,4.58,35.31750894605573,8957.534058306928,86560.90267768073,4.954761422133563,0.3956327244044456,379.6115362844093
228,652,87245,Norovirus,2015-01-26,2015-02-11,106,VA,Virginia,Spotsylvania,,,,,,,,,,,36.11764706,1016.3214111328124,5.935294118,0.036,53.13416912,20.16024398803711,9.247058822,36.601914100628335,8796.606157881823,78478.67929435732,5.610778115398895,0.2649826173187006,314.71018923774824
229,654,144792,Norovirus,2015-01-16,2015-01-24,53,TX,Texas,Harris,,,,,,,,,,,52.43333333,1020.524444,4.422222222,0.091805556,68.0757443,5.592963,6.920634918,32.61577592401724,207152.49138224032,53861.60749282138,5.567302031388904,0.1623577334899303,2509.286774919924
230,655,177526,Norovirus,2015-02-06,2015-02-06,15,OH,Ohio,Franklin,,,,,,,,,,,18.6,1027.1,6.5,0.0,64.78984703,32.525,4.05,33.808172032480535,75640.75118552038,51953.00288390702,5.905704061362163,0.1116139878614585,2253.6988060444723
231,656,214672,Norovirus,2015-02-01,2015-02-01,13,VA,Virginia,Henrico,,,,,,,,,,,33.9,1024.4,3.4,0.0,50.55261175,6.7,6.5,37.81245163810741,26852.34484669134,61471.59383930507,5.366154382981376,0.0604795413616403,1348.8219117963265
232,657,230351,Norovirus,2015-02-08,2015-02-08,6,NY,New York,Monroe,,,,,,,,,,,22.86666667,1012.766667,10.03333333,0.023333333,90.07112938,21.766667,9.51666667,38.50334337458154,30506.00414062183,52502.47005284644,5.881172727874135,0.1439157414771078,1138.5207406777151
233,658,230419,Norovirus,2015-01-31,2015-01-31,20,CT,Connecticut,Hartford,,,,,,,,,,,14.0,1015.55,12.85,0.03,44.6416256,3.8,7.65,40.00431382687331,37376.45044073811,65557.17073174303,5.1087372923247045,0.1419543019890889,1220.824293826609
234,660,230370,Norovirus,2014-12-06,2014-12-06,5,WA,Washington,Clark,,,,,,,,,,,46.4,1015.6,5.5,0.37,80.71305858,0.8,7.5,37.18809547685911,26244.186487355568,59445.485934311975,4.810776911141332,0.2893354506071761,696.1270056801875
235,661,230373,Norovirus,2015-02-12,2015-02-14,8,TN,Tennessee,Hamilton,,,,,,,,,,,35.9,1022.3,7.2,0.0,45.1573899,25.4666667,10.46666667,39.39492397760749,19246.57828837296,47958.92838911962,6.106807050372729,0.2033323947107861,636.3965941440784
236,663,230400,Norovirus,2015-02-02,2015-02-02,5,VA,Virginia,Chesterfield,,,,,,,,,,,50.1,1014.1246948242188,11.2,0.05,50.82680623,30.69970321655273,7.8,38.007655087401,19786.6386528277,72531.50223300458,4.424523686415999,0.1835790268966356,767.0542495576949
237,664,230403,Norovirus,2015-02-10,2015-02-13,28,OH,Ohio,Butler,,,,,,,,,,,27.3125,1023.5,7.05,0.0025,65.4976229,24.525,6.6,36.21356655220693,22865.032247893418,57031.19704536461,6.43092450702642,0.1287392676781649,795.0342616719814
238,668,230594,Norovirus,2014-02-24,2015-02-24,18,MN,Minnesota,Hennepin,,,,,,,,,,,44.65464481,1016.539754,7.75359745,0.089672131,65.69873273,32.7234516,6.53401639,36.07184702207255,79907.18979818012,64832.76968521272,5.587095909191963,0.174651082456874,2130.2722998655745
239,669,230607,Norovirus,2015-02-19,2015-02-19,10,OR,Oregon,Yamhill,,,,,,,,,,,51.3,1025.7,2.6,0.0,77.18362909,5.9,3.4,38.03590341223094,8420.104393178523,53743.86292874317,6.780725637301298,2.72744326183636,140.471719125046
240,670,230610,Norovirus,2015-02-21,2015-02-25,26,OR,Oregon,Benton,,,,,,,,,,,44.69,1017.2611083984376,5.92,0.0,56.34485376,67.00464630126953,6.92,32.44335426613175,10679.719226600568,49396.99946573315,7.170711714407455,1.874540054356864,127.3164791837324
241,672,230654,Norovirus,2015-02-17,2015-02-25,104,WI,Wisconsin,Milwaukee,,,,,,,,,,,10.76666667,1021.255556,9.859259259,0.002592593,53.04019249,27.9000004,7.229629631,34.03340693770034,39994.29827911043,43429.0144291355,6.516882450846023,0.2876281080318992,3951.3533197740567
242,673,230745,Norovirus,2015-02-21,2015-02-21,7,IL,Illinois,Cook,,,,,,,,,,,21.75,1015.8,8.183333333,0.0,68.67946909,24.0333333,13.13333334,35.72890131190436,176901.8419517154,54863.46751654474,5.639553725517107,0.0881218512873882,5532.447242583256
